Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,9,Sun,2018-10-07,17:00,Monaco,0.5,1–2,1.5,Rennes,6268,Stade Louis II.,Olivier Thual,Match Report,
Regular Season,9,Sun,2018-10-07,21:00,Paris S-G,3.7,5–0,1.5,Lyon,47443,Parc des Princes,Antony Gautier,Match Report,

Regular Season,10,Fri,2018-10-19,20:45,Lyon,2.2,2–0,1.4,Nîmes,42896,Groupama Stadium,Olivier Thual,Match Report,
Regular Season,10,Sat,2018-10-20,17:00,Paris S-G,1.7,5–0,0.6,Amiens,47497,Parc des Princes,Mikael Lesage,Match Report,
Regular Season,10,Sat,2018-10-20,20:00,Reims,1.2,1–1,1.8,Angers,10954,Stade Auguste-Delaune II,Eric Wattellier,Match Report,
Regular Season,10,Sat,2018-10-20,20:00,Nantes,2.3,4–0,0.6,Toulouse,22613,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
Regular Season,10,Sat,2018-10-20,20:00,Caen,0.4,0–0,0.9,Guingamp,16009,Stade Michel d'Ornano,Hakim Ben El Hadj Salem,Match Report,
Regular Season,10,Sat,2018-10-20,20:00,Dijon,1.7,1–2,1.7,Lille,13004,Stade Gaston Gérard,Thomas Léonard,Match Report,
Regular Season,10,Sat,2018-10-20,20:00,Strasbourg,1.0,2–1,1.4,Monaco,25358,Stade de la Meinau,Nicolas Rainville,Match Report,
Regular Season,10,Sun,2018-10-21,15:00,Montpellier,1.6,2–0,1.3,Bordeaux,12491,Stade de la Mosson,Franck Schneider,Match Report,
Regular Season,10,Sun,2018-10-21,17:00,Saint-Étienne,1.7,1–1,1.9,Rennes,29557,Stade Geoffroy-Guichard,Clément Turpin,Match Report,
Regular Season,10,Sun,2018-10-21,21:00,Nice,0.9,0–1,0.5,Marseille,30754,Stade de Nice,Amaury Delerue,Match Report,

Regular Season,11,Fri,2018-10-26,20:45,Nîmes,1.3,1–1,1.2,Saint-Étienne,15412,Stade des Costières,François Letexier,Match Report,
Regular Season,11,Sat,2018-10-27,17:00,Angers,0.9,1–2,1.7,Lyon,14186,Stade Raymond Kopa,Ruddy Buquet,Match Report,
Regular Season,11,Sat,2018-10-27,20:00,Toulouse,1.2,0–3,2.1,Montpellier,14100,Stadium Municipal,Karim Abed,Match Report,
Regular Season,11,Sat,2018-10-27,20:00,Monaco,1.3,2–2,0.6,Dijon,7139,Stade Louis II.,Jérôme Miguelgorry,Match Report,
Regular Season,11,Sat,2018-10-27,20:00,Amiens,1.2,1–2,1.7,Nantes,11384,Stade de la Licorne,Jeremy Stinat,Match Report,
Regular Season,11,Sat,2018-10-27,20:00,Guingamp,1.3,1–1,1.8,Strasbourg,13643,Stade du Roudourou,Willy Delajod,Match Report,
Regular Season,11,Sat,2018-10-27,20:00,Lille,0.8,1–0,0.5,Caen,33362,Stade Pierre-Mauroy,Florent Batta,Match Report,
Regular Season,11,Sun,2018-10-28,15:00,Rennes,0.8,0–2,0.2,Reims,22710,Roazhon Park,Benoît Millot,Match Report,
Regular Season,11,Sun,2018-10-28,17:00,Bordeaux,2.2,0–1,1.5,Nice,20730,Stade Matmut-Atlantique,Jérôme Brisard,Match Report,
Regular Season,11,Sun,2018-10-28,21:00,Marseille,0.5,0–2,1.4,Paris S-G,64696,Orange Vélodrome,Benoît Bastien,Match Report,

Regular Season,12,Fri,2018-11-02,20:45,Paris S-G,2.0,2–1,0.9,Lille,47549,Parc des Princes,François Letexier,Match Report,
Regular Season,12,Sat,2018-11-03,17:00,Lyon,0.4,1–1,1.2,Bordeaux,46653,Groupama Stadium,Benoît Millot,Match Report,
Regular Season,12,Sat,2018-11-03,20:00,Dijon,1.3,0–4,1.6,Nîmes,12113,Stade Gaston Gérard,Franck Schneider,Match Report,
Regular Season,12,Sat,2018-11-03,20:00,Nice,1.1,1–0,1.0,Amiens,15259,Stade de Nice,Johan Hamel,Match Report,
Regular Season,12,Sat,2018-11-03,20:00,Caen,1.7,1–2,2.2,Rennes,17284,Stade Michel d'Ornano,Amaury Delerue,Match Report,
Regular Season,12,Sat,2018-11-03,20:00,Reims,1.3,1–0,0.4,Monaco,16005,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
