Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16,Wed,2015-12-02,19:00,Troyes,0–3,Toulouse,10183,Stade de l'Aube,Sébastien Moreira,Match Report,
16,Wed,2015-12-02,21:00,Lille,1–0,Saint-Étienne,29103,Stade Pierre-Mauroy,Franck Schneider,Match Report,
16,Thu,2015-12-03,21:00,Rennes,0–1,Marseille,23450,Roazhon Park,Tony Chapron,Match Report,

17,Fri,2015-12-04,20:30,Nice,0–3,Paris S-G,31008,Stade de Nice,Antony Gautier,Match Report,
17,Sat,2015-12-05,17:00,Lyon,0–2,Angers,36068,Matmut Stadium de Gerland,Lionel Jaffredo,Match Report,
17,Sat,2015-12-05,20:00,Reims,1–1,Troyes,10765,Stade Auguste-Delaune II,Jérôme Miguelgorry,Match Report,
17,Sat,2015-12-05,20:00,Toulouse,2–3,Lorient,14354,Stadium Municipal,Stéphane Jochem,Match Report,
17,Sat,2015-12-05,20:00,Caen,1–2,Lille,15952,Stade Michel d'Ornano,Saïd Ennjimi,Match Report,
17,Sat,2015-12-05,20:00,Gazélec Ajaccio,1–1,Nantes,3614,Stade Ange Casanova,Wilfried Bien,Match Report,
17,Sat,2015-12-05,20:00,Bastia,1–2,Monaco,10596,Stade Armand Césari,Ruddy Buquet,Match Report,
17,Sun,2015-12-06,14:00,Marseille,2–2,Montpellier,41486,Orange Vélodrome,Bartolomeu Varela,Match Report,
17,Sun,2015-12-06,17:00,Bordeaux,1–0,Guingamp,22606,Stade Jacques Chaban-Delmas,Clément Turpin,Match Report,
17,Sun,2015-12-06,21:00,Saint-Étienne,1–1,Rennes,26668,Stade Geoffroy-Guichard,Nicolas Rainville,Match Report,

18,Fri,2015-12-11,20:30,Rennes,1–1,Caen,23480,Roazhon Park,Johan Hamel,Match Report,
18,Sat,2015-12-12,16:00,Reims,1–1,Nice,12536,Stade Auguste-Delaune II,Franck Schneider,Match Report,
18,Sat,2015-12-12,20:00,Troyes,1–1,Bastia,10117,Stade de l'Aube,Stéphane Lannoy,Match Report,
18,Sat,2015-12-12,20:00,Lille,3–0,Lorient,28170,Stade Pierre-Mauroy,Clément Turpin,Match Report,
18,Sat,2015-12-12,20:00,Montpellier,2–1,Guingamp,10846,Stade de la Mosson,Sébastien Moreira,Match Report,
18,Sat,2015-12-12,20:00,Nantes,1–1,Toulouse,18851,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,
18,Sun,2015-12-13,14:00,Monaco,1–0,Saint-Étienne,7213,Stade Louis II.,Mikael Lesage,Match Report,
18,Sun,2015-12-13,17:00,Marseille,1–1,Gazélec Ajaccio,40298,Orange Vélodrome,Nicolas Rainville,Match Report,
18,Sun,2015-12-13,17:00,Angers,1–1,Bordeaux,13702,Stade Raymond Kopa,Benoît Millot,Match Report,
18,Sun,2015-12-13,21:00,Paris S-G,5–1,Lyon,46650,Parc des Princes,Ruddy Buquet,Match Report,

19,Fri,2015-12-18,20:30,Nice,1–0,Montpellier,14026,Stade de Nice,Tony Chapron,Match Report,
19,Sat,2015-12-19,17:00,Caen,0–3,Paris S-G,20679,Stade Michel d'Ornano,Lionel Jaffredo,Match Report,
19,Sat,2015-12-19,20:00,Troyes,0–0,Monaco,16266,Stade de l'Aube,Wilfried Bien,Match Report,
19,Sat,2015-12-19,20:00,Bastia,2–0,Reims,10528,Stade Armand Césari,Saïd Ennjimi,Match Report,
19,Sat,2015-12-19,20:00,Lorient,0–0,Nantes,14711,Stade Yves Allainmat - Le Moustoir,Frédy Fautrel,Match Report,
19,Sat,2015-12-19,20:00,Guingamp,0–2,Rennes,16196,Stade du Roudourou,Benoît Millot,Match Report,
19,Sat,2015-12-19,20:00,Toulouse,1–1,Lille,14843,Stadium Municipal,Ruddy Buquet,Match Report,
19,Sun,2015-12-20,14:00,Saint-Étienne,1–0,Angers,30985,Stade Geoffroy-Guichard,Bartolomeu Varela,Match Report,
19,Sun,2015-12-20,17:00,Gazélec Ajaccio,2–1,Lyon,4125,Stade Ange Casanova,Amaury Delerue,Match Report,
19,Sun,2015-12-20,21:00,Bordeaux,1–1,Marseille,39672,Stade Jacques Chaban-Delmas,Benoît Bastien,Match Report,

20,Fri,2016-01-08,20:30,Paris S-G,2–0,Bastia,44879,Parc des Princes,Sébastien Moreira,Match Report,
20,Sat,2016-01-09,17:00,Lyon,4–1,Troyes,55169,Groupama Stadium,Ruddy Buquet,Match Report,
20,Sat,2016-01-09,20:00,Rennes,2–2,Lorient,26936,Roazhon Park,Franck Schneider,Match Report,
20,Sat,2016-01-09,20:00,Monaco,2–2,Gazélec Ajaccio,5542,Stade Louis II.,Stéphane Jochem,Match Report,
20,Sat,2016-01-09,20:00,Angers,2–0,Caen,12208,Stade Raymond Kopa,Nicolas Rainville,Match Report,
20,Sat,2016-01-09,20:00,Montpellier,0–1,Bordeaux,10603,Stade de la Mosson,Clément Turpin,Match Report,
20,Sat,2016-01-09,20:00,Reims,1–3,Toulouse,13192,Stade Auguste-Delaune II,Mikael Lesage,Match Report,
20,Sun,2016-01-10,14:00,Nantes,2–1,Saint-Étienne,25509,Stade de la Beaujoire - Louis Fonteneau,Stéphane Lannoy,Match Report,
20,Sun,2016-01-10,17:00,Lille,1–1,Nice,30238,Stade Pierre-Mauroy,Hakim Ben El Hadj Salem,Match Report,
20,Sun,2016-01-10,21:00,Marseille,0–0,Guingamp,38948,Orange Vélodrome,Frédy Fautrel,Match Report,

21,Fri,2016-01-15,20:30,Nice,2–1,Angers,13600,Stade de Nice,Jérôme Miguelgorry,Match Report,
21,Sat,2016-01-16,17:00,Toulouse,0–1,Paris S-G,30178,Stadium Municipal,Bartolomeu Varela,Match Report,
21,Sat,2016-01-16,20:00,Bordeaux,1–0,Lille,21207,Stade Jacques Chaban-Delmas,Lionel Jaffredo,Match Report,
21,Sat,2016-01-16,20:00,Guingamp,2–2,Nantes,13762,Stade du Roudourou,Antony Gautier,Match Report,
21,Sat,2016-01-16,20:00,Troyes,2–4,Rennes,10292,Stade de l'Aube,Saïd Ennjimi,Match Report,
21,Sat,2016-01-16,20:00,Bastia,1–0,Montpellier,10337,Stade Armand Césari,Franck Schneider,Match Report,
21,Sat,2016-01-16,20:00,Gazélec Ajaccio,2–2,Reims,3568,Stade Ange Casanova,Johan Hamel,Match Report,
21,Sun,2016-01-17,14:00,Lorient,0–2,Monaco,10742,Stade Yves Allainmat - Le Moustoir,Benoît Bastien,Match Report,
21,Sun,2016-01-17,17:00,Caen,1–3,Marseille,20513,Stade Michel d'Ornano,Amaury Delerue,Match Report,
21,Sun,2016-01-17,21:00,Saint-Étienne,1–0,Lyon,36503,Stade Geoffroy-Guichard,Clément Turpin,Match Report,

22,Fri,2016-01-22,20:30,Rennes,1–0,Gazélec Ajaccio,18022,Roazhon Park,Sébastien Moreira,Match Report,
22,Sat,2016-01-23,17:00,Paris S-G,5–1,Angers,46199,Parc des Princes,Frédy Fautrel,Match Report,
22,Sat,2016-01-23,20:00,Guingamp,1–0,Bastia,14065,Stade du Roudourou,Mikael Lesage,Match Report,
22,Sat,2016-01-23,20:00,Montpellier,1–2,Caen,9076,Stade de la Mosson,François Letexier,Match Report,
22,Sat,2016-01-23,20:00,Lille,1–3,Troyes,26431,Stade Pierre-Mauroy,Nicolas Rainville,Match Report,
22,Sat,2016-01-23,20:00,Nantes,2–2,Bordeaux,21893,Stade de la Beaujoire - Louis Fonteneau,Tony Chapron,Match Report,
22,Sat,2016-01-23,20:00,Nice,2–1,Lorient,13871,Stade de Nice,Stéphane Jochem,Match Report,
22,Sun,2016-01-24,14:00,Monaco,4–0,Toulouse,5628,Stade Louis II.,Hakim Ben El Hadj Salem,Match Report,
