Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,9,Sun,2017-10-15,17:00,Montpellier,1.5,2–0,2.2,Nice,14374,Stade de la Mosson,Jérôme Brisard,Match Report,
Regular Season,9,Sun,2017-10-15,21:00,Strasbourg,2.1,3–3,2.6,Marseille,26015,Stade de la Meinau,Antony Gautier,Match Report,

Regular Season,10,Fri,2017-10-20,20:45,Saint-Étienne,1.7,0–1,1.9,Montpellier,24004,Stade Geoffroy-Guichard,Franck Schneider,Match Report,
Regular Season,10,Sat,2017-10-21,17:00,Monaco,2.3,2–0,0.5,Caen,8040,Stade Louis II.,Thomas Léonard,Match Report,
Regular Season,10,Sat,2017-10-21,20:00,Rennes,0.5,1–0,0.8,Lille,21852,Roazhon Park,Olivier Thual,Match Report,
Regular Season,10,Sat,2017-10-21,20:00,Metz,0.7,1–2,0.5,Dijon,14748,Stade Saint-Symphorien,Mikael Lesage,Match Report,
Regular Season,10,Sat,2017-10-21,20:00,Nantes,0.7,2–1,0.5,Guingamp,27711,Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,Match Report,
Regular Season,10,Sat,2017-10-21,20:00,Angers,1.8,0–1,0.2,Toulouse,11001,Stade Raymond Kopa,Johan Hamel,Match Report,
Regular Season,10,Sat,2017-10-21,20:00,Amiens,1.3,1–0,1.0,Bordeaux,12297,Stade Océane,Sébastien Desiage,Match Report,
Regular Season,10,Sun,2017-10-22,15:00,Nice,1.9,1–2,1.1,Strasbourg,23595,Stade de Nice,Nicolas Rainville,Match Report,
Regular Season,10,Sun,2017-10-22,17:00,Troyes,0.4,0–5,3.3,Lyon,14722,Stade de l'Aube,François Letexier,Match Report,
Regular Season,10,Sun,2017-10-22,21:00,Marseille,0.8,2–2,1.2,Paris S-G,60410,Orange Vélodrome,Ruddy Buquet,Match Report,

Regular Season,11,Fri,2017-10-27,20:45,Paris S-G,3.0,3–0,0.3,Nice,47224,Parc des Princes,Tony Chapron,Match Report,
Regular Season,11,Sat,2017-10-28,17:00,Bordeaux,1.0,0–2,1.2,Monaco,28831,Stade Matmut-Atlantique,Antony Gautier,Match Report,
Regular Season,11,Sat,2017-10-28,20:00,Dijon,0.3,1–0,1.1,Nantes,11764,Stade Gaston Gérard,Hakim Ben El Hadj Salem,Match Report,
Regular Season,11,Sat,2017-10-28,20:00,Montpellier,1.7,0–1,0.5,Rennes,11790,Stade de la Mosson,Benoît Bastien,Match Report,
Regular Season,11,Sat,2017-10-28,20:00,Guingamp,0.8,1–1,0.8,Amiens,13809,Stade du Roudourou,Karim Abed,Match Report,
Regular Season,11,Sat,2017-10-28,20:00,Caen,1.2,1–0,0.8,Troyes,16908,Stade Michel d'Ornano,Jérôme Miguelgorry,Match Report,
Regular Season,11,Sat,2017-10-28,20:00,Strasbourg,2.0,2–2,0.7,Angers,25011,Stade de la Meinau,Amaury Delerue,Match Report,
Regular Season,11,Sun,2017-10-29,15:00,Lyon,1.1,2–0,0.2,Metz,53921,Groupama Stadium,Benoît Millot,Match Report,
Regular Season,11,Sun,2017-10-29,17:00,Toulouse,0.5,0–0,0.9,Saint-Étienne,15062,Stadium Municipal,Jérôme Brisard,Match Report,
Regular Season,11,Sun,2017-10-29,21:00,Lille,1.3,0–1,0.7,Marseille,43948,Stade Pierre-Mauroy,François Letexier,Match Report,

Regular Season,12,Fri,2017-11-03,20:45,Rennes,0.4,1–0,1.0,Bordeaux,24547,Roazhon Park,Ruddy Buquet,Match Report,
Regular Season,12,Sat,2017-11-04,17:00,Angers,0.5,0–5,2.7,Paris S-G,12381,Stade Raymond Kopa,Benoît Bastien,Match Report,
Regular Season,12,Sat,2017-11-04,20:00,Montpellier,1.4,1–1,0.8,Amiens,10149,Stade de la Mosson,Stéphane Jochem,Match Report,
Regular Season,12,Sat,2017-11-04,20:00,Nantes,0.9,2–1,0.9,Toulouse,21390,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Match Report,
Regular Season,12,Sat,2017-11-04,20:00,Monaco,3.2,6–0,0.4,Guingamp,7066,Stade Louis II.,Mikael Lesage,Match Report,
Regular Season,12,Sat,2017-11-04,20:00,Troyes,2.3,3–0,0.6,Strasbourg,10260,Stade de l'Aube,Thomas Léonard,Match Report,
Regular Season,12,Sun,2017-11-05,15:00,Nice,1.6,1–0,0.7,Dijon,18987,Stade de Nice,Olivier Thual,Match Report,
Regular Season,12,Sun,2017-11-05,17:00,Metz,1.4,0–3,1.6,Lille,12506,Stade Saint-Symphorien,Jérôme Brisard,Match Report,
Regular Season,12,Sun,2017-11-05,17:00,Marseille,3.9,5–0,0.7,Caen,47687,Orange Vélodrome,Nicolas Rainville,Match Report,
Regular Season,12,Sun,2017-11-05,21:00,Saint-Étienne,1.2,0–5,2.7,Lyon,38993,Stade Geoffroy-Guichard,Clément Turpin,Match Report,

Regular Season,13,Fri,2017-11-17,19:00,Lille,0.7,3–1,1.5,Saint-Étienne,28019,Stade Pierre-Mauroy,Johan Hamel,Match Report,
Regular Season,13,Fri,2017-11-17,20:45,Amiens,1.1,1–1,1.1,Monaco,9198,Stade de la Licorne,Jérôme Miguelgorry,Match Report,
Regular Season,13,Sat,2017-11-18,17:00,Paris S-G,1.8,4–1,1.0,Nantes,47680,Parc des Princes,Nicolas Rainville,Match Report,
Regular Season,13,Sat,2017-11-18,20:00,Strasbourg,1.7,2–1,0.9,Rennes,22707,Stade de la Meinau,Tony Chapron,Match Report,
Regular Season,13,Sat,2017-11-18,20:00,Dijon,1.6,3–1,1.3,Troyes,10227,Stade Gaston Gérard,Franck Schneider,Match Report,
Regular Season,13,Sat,2017-11-18,20:00,Guingamp,1.2,1–1,0.3,Angers,13849,Stade du Roudourou,Jérôme Brisard,Match Report,
Regular Season,13,Sat,2017-11-18,20:00,Toulouse,1.8,0–0,0.8,Metz,15656,Stadium Municipal,Hakim Ben El Hadj Salem,Match Report,
Regular Season,13,Sun,2017-11-19,15:00,Caen,2.1,1–1,1.4,Nice,15144,Stade Michel d'Ornano,Sébastien Desiage,Match Report,
Regular Season,13,Sun,2017-11-19,17:00,Lyon,1.2,0–0,0.7,Montpellier,47651,Groupama Stadium,Karim Abed,Match Report,
Regular Season,13,Sun,2017-11-19,21:00,Bordeaux,0.5,1–1,1.4,Marseille,37356,Stade Matmut-Atlantique,Benoît Millot,Match Report,

Regular Season,8,Mon,2017-11-20,19:00,Amiens,1.4,3–0,0.5,Lille,9015,Stade de la Licorne,Mikael Lesage,Match Report,

Regular Season,14,Fri,2017-11-24,20:45,Saint-Étienne,1.2,2–2,1.4,Strasbourg,21282,Stade Geoffroy-Guichard,Benoît Bastien,Match Report,
Regular Season,14,Sat,2017-11-25,17:00,Rennes,1.3,2–1,1.4,Nantes,26151,Roazhon Park,Ruddy Buquet,Match Report,
Regular Season,14,Sat,2017-11-25,20:00,Caen,0.6,1–0,1.1,Bordeaux,15275,Stade Michel d'Ornano,Karim Abed,Match Report,
Regular Season,14,Sat,2017-11-25,20:00,Troyes,1.2,3–0,0.4,Angers,8906,Stade de l'Aube,Hakim Ben El Hadj Salem,Match Report,
Regular Season,14,Sat,2017-11-25,20:00,Dijon,0.8,3–1,1.9,Toulouse,10126,Stade Gaston Gérard,Stéphane Jochem,Match Report,
Regular Season,14,Sat,2017-11-25,20:00,Metz,1.4,0–2,0.7,Amiens,15079,Stade Saint-Symphorien,Antony Gautier,Match Report,
