Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,7,Sat,2016-09-24,20:00,Bastia,1–0,Guingamp,9387,Stade Armand Césari,Amaury Delerue,Match Report,
Regular Season,7,Sat,2016-09-24,20:00,Montpellier,0–1,Metz,9752,Stade de la Mosson,Tony Chapron,Match Report,
Regular Season,7,Sat,2016-09-24,20:00,Dijon,3–0,Rennes,8148,Stade Gaston Gérard,Sébastien Moreira,Match Report,
Regular Season,7,Sat,2016-09-24,20:00,Bordeaux,0–0,Caen,17476,Stade Matmut-Atlantique,Karim Abed,Match Report,
Regular Season,7,Sun,2016-09-25,15:00,Saint-Étienne,3–1,Lille,24700,Stade Geoffroy-Guichard,Benoît Millot,Match Report,
Regular Season,7,Sun,2016-09-25,17:00,Nancy,0–1,Nice,17580,Stade Marcel Picot,Antony Gautier,Match Report,
Regular Season,7,Sun,2016-09-25,20:45,Marseille,2–1,Nantes,25121,Orange Vélodrome,Lionel Jaffredo,Match Report,

Regular Season,8,Fri,2016-09-30,20:45,Rennes,1–0,Guingamp,26118,Roazhon Park,Nicolas Rainville,Match Report,
Regular Season,8,Sat,2016-10-01,17:00,Paris S-G,2–0,Bordeaux,44949,Parc des Princes,Antony Gautier,Match Report,
Regular Season,8,Sat,2016-10-01,20:00,Lille,1–0,Nancy,25719,Stade Pierre-Mauroy,Sébastien Desiage,Match Report,
Regular Season,8,Sat,2016-10-01,20:00,Metz,0–7,Monaco,19163,Stade Saint-Symphorien,Olivier Thual,Match Report,
Regular Season,8,Sat,2016-10-01,20:00,Caen,1–0,Toulouse,16354,Stade Michel d'Ornano,Benoît Bastien,Match Report,
Regular Season,8,Sat,2016-10-01,20:00,Nantes,1–0,Bastia,20129,Stade de la Beaujoire - Louis Fonteneau,Bartolomeu Varela,Match Report,
Regular Season,8,Sat,2016-10-01,20:00,Dijon,3–3,Montpellier,8428,Stade Gaston Gérard,François Letexier,Match Report,
